t,x,y
0.0,3.5,-4.0
0.105,3.5,-4.0
0.21,3.4999,-3.9988
0.321,3.499,-3.9942
0.441,3.4977,-3.988
0.549,3.4957,-3.98
0.651,3.492,-3.9614
0.756,3.4871,-3.9412
0.861,3.4816,-3.9237
0.969,3.4728,-3.9021
1.071,3.4627,-3.8819
1.179,3.4509,-3.8623
1.281,3.4374,-3.8437
1.386,3.4223,-3.8255
1.491,3.4057,-3.8089
1.599,3.3883,-3.7937
1.704,3.3694,-3.7794
1.806,3.3495,-3.7664
1.914,3.3287,-3.7548
2.019,3.3071,-3.7451
2.142,3.2804,-3.7346
2.247,3.2573,-3.7267
2.352,3.2338,-3.7199
2.457,3.2103,-3.7155
2.562,3.1867,-3.7124
2.667,3.1628,-3.7099
2.772,3.1384,-3.7078
2.883,3.1136,-3.7065
2.985,3.0889,-3.7063
3.09,3.0642,-3.7074
3.192,3.0394,-3.7085
3.3,3.0146,-3.7103
3.402,2.9898,-3.7123
3.507,2.9647,-3.7143
3.612,2.9399,-3.7167
3.717,2.915,-3.7194
3.825,2.8902,-3.7221
3.927,2.8653,-3.7249
4.032,2.8407,-3.7272
4.137,2.8158,-3.7295
4.242,2.7913,-3.7317
4.347,2.7662,-3.7334
4.455,2.741,-3.7346
4.557,2.7155,-3.7356
4.662,2.6901,-3.7357
4.767,2.6646,-3.7352
4.872,2.6389,-3.7337
4.977,2.6131,-3.7316
5.082,2.5876,-3.7289
5.187,2.562,-3.7251
5.292,2.5366,-3.7206
5.4,2.5113,-3.7151
5.508,2.4862,-3.709
5.628,2.4565,-3.7003
5.736,2.4319,-3.6917
5.838,2.4079,-3.6822
5.943,2.3846,-3.6719
6.051,2.3612,-3.6607
6.153,2.3384,-3.6484
6.258,2.3162,-3.6349
6.366,2.2946,-3.6202
6.471,2.2738,-3.6054
6.573,2.2535,-3.5893
6.678,2.2346,-3.573
6.783,2.217,-3.5563
6.891,2.1996,-3.5386
6.993,2.1824,-3.5195
7.098,2.1665,-3.5004
7.206,2.1508,-3.4801
7.308,2.1367,-3.46
7.413,2.1228,-3.4387
7.518,2.11,-3.4171
7.623,2.0981,-3.3952
7.728,2.0868,-3.3723
7.836,2.0764,-3.3496
7.938,2.0671,-3.3275
8.046,2.0586,-3.3046
8.151,2.0509,-3.2814
8.256,2.0437,-3.2576
8.358,2.0372,-3.2334
8.466,2.0314,-3.209
8.568,2.0258,-3.1844
8.676,2.0212,-3.1604
8.781,2.0169,-3.1357
8.883,2.0131,-3.111
8.988,2.0097,-3.0859
9.096,2.0066,-3.0612
9.198,2.0038,-3.0365
9.303,2.001,-3.0121
9.414,1.9985,-2.9881
9.537,1.9954,-2.9583
9.639,1.9926,-2.9336
9.744,1.9897,-2.9089
9.849,1.9867,-2.8843
9.954,1.9836,-2.86
10.059,1.98,-2.8354
10.164,1.9762,-2.8112
10.272,1.9719,-2.7872
10.374,1.968,-2.7646
10.479,1.9632,-2.7409
10.584,1.9579,-2.7173
10.689,1.952,-2.6934
10.794,1.9459,-2.6696
10.899,1.9391,-2.6459
11.004,1.9317,-2.6228
11.109,1.9239,-2.5994
11.217,1.9157,-2.5766
11.346,1.9066,-2.5541
11.454,1.8949,-2.5272
11.571,1.8827,-2.5003
11.676,1.8724,-2.4794
11.781,1.8609,-2.4578
11.892,1.8496,-2.4377
11.994,1.8377,-2.4175
12.099,1.825,-2.3972
12.204,1.8122,-2.3777
12.306,1.798,-2.3578
12.411,1.7835,-2.3382
12.516,1.7684,-2.319
12.624,1.7528,-2.3002
12.729,1.737,-2.2821
12.834,1.7204,-2.264
12.936,1.7032,-2.2463
13.044,1.6864,-2.23
13.146,1.6692,-2.214
13.251,1.6513,-2.1982
13.359,1.633,-2.183
13.461,1.6142,-2.1683
13.566,1.5957,-2.1544
13.668,1.5757,-2.1402
13.776,1.5559,-2.127
13.884,1.5359,-2.1143
13.986,1.5158,-2.1024
14.094,1.4944,-2.0905
14.199,1.4737,-2.0796
14.304,1.4522,-2.0689
14.406,1.4302,-2.0585
14.511,1.4092,-2.0493
14.616,1.3866,-2.0398
14.721,1.3655,-2.0315
14.829,1.3432,-2.0234
14.931,1.3211,-2.0158
15.036,1.2975,-2.0079
15.141,1.2755,-2.0012
15.255,1.253,-1.9946
15.372,1.225,-1.987
15.48,1.2011,-1.9809
15.582,1.1782,-1.9753
15.69,1.1545,-1.9698
15.792,1.131,-1.9647
15.897,1.1066,-1.9592
16.002,1.0833,-1.9543
16.11,1.0588,-1.9493
16.212,1.0349,-1.9446
16.32,1.011,-1.9398
16.425,0.9871,-1.9351
16.527,0.9632,-1.9304
16.632,0.9397,-1.9259
16.737,0.9153,-1.9211
16.845,0.8911,-1.916
16.947,0.8681,-1.9114
17.052,0.8435,-1.9059
17.157,0.8196,-1.9007
17.262,0.795,-1.8947
17.367,0.7703,-1.8884
17.475,0.7458,-1.882
17.577,0.722,-1.8751
17.682,0.6983,-1.8681
17.79,0.6745,-1.8605
17.895,0.6503,-1.852
17.997,0.6263,-1.8435
18.102,0.6033,-1.8349
18.207,0.5797,-1.8252
18.312,0.5562,-1.8151
18.417,0.533,-1.8043
18.522,0.5099,-1.7935
18.627,0.4871,-1.7817
18.732,0.4645,-1.7693
18.837,0.4423,-1.7564
18.945,0.4204,-1.7429
19.05,0.399,-1.7289
19.152,0.3782,-1.7141
19.257,0.3577,-1.6983
19.362,0.3376,-1.682
19.467,0.3179,-1.6653
19.575,0.299,-1.6479
19.677,0.2807,-1.6299
19.782,0.2632,-1.6115
19.887,0.2464,-1.5926
19.998,0.2298,-1.5734
20.118,0.2112,-1.5504
20.223,0.1959,-1.5297
20.331,0.1813,-1.5091
20.433,0.1675,-1.4886
20.541,0.1539,-1.4672
20.643,0.142,-1.4473
20.769,0.1278,-1.4217
20.877,0.1161,-1.3988
20.985,0.1056,-1.377
21.099,0.0957,-1.3544
21.21,0.0846,-1.3268
21.315,0.076,-1.3033
21.426,0.0681,-1.2796
21.546,0.0591,-1.2507
21.651,0.0525,-1.2271
21.756,0.0464,-1.2026
21.861,0.041,-1.1787
21.966,0.036,-1.1544
22.074,0.0313,-1.13
22.176,0.027,-1.1057
22.281,0.0232,-1.082
22.386,0.0195,-1.0571
22.491,0.0163,-1.0334
22.596,0.0131,-1.0095
22.701,0.0099,-0.9856
22.806,0.0069,-0.9608
22.917,0.0038,-0.936
23.037,-0.0003,-0.9068
23.142,-0.0037,-0.8823
23.247,-0.0076,-0.8582
23.352,-0.0114,-0.8337
23.457,-0.0156,-0.8097
23.562,-0.0203,-0.7854
23.67,-0.0254,-0.7617
23.772,-0.0306,-0.7375
23.877,-0.0362,-0.7134
23.982,-0.0424,-0.69
24.087,-0.0491,-0.6663
24.192,-0.056,-0.6428
24.297,-0.0637,-0.6199
24.402,-0.0717,-0.5967
24.504,-0.08,-0.574
24.612,-0.0885,-0.5527
24.717,-0.0983,-0.5305
24.825,-0.1084,-0.508
24.927,-0.1188,-0.4867
25.032,-0.1301,-0.4648
25.137,-0.1419,-0.4432
25.242,-0.1541,-0.4218
25.347,-0.1668,-0.4007
25.452,-0.1791,-0.3812
25.557,-0.1918,-0.3621
25.662,-0.2056,-0.3423
25.767,-0.2203,-0.3229
