t,x,y
0.0,1.5,-4.0
0.105,1.5,-4.0
0.228,1.4999,-4.0002
0.333,1.4997,-4.0009
0.441,1.4995,-4.0021
0.543,1.4992,-4.0039
0.648,1.499,-4.0062
0.753,1.4989,-4.0089
0.861,1.4989,-4.0108
0.963,1.4991,-4.0125
1.074,1.4993,-4.0145
1.194,1.4996,-4.0166
1.302,1.4998,-4.0177
1.404,1.5001,-4.0191
1.512,1.5004,-4.0204
1.614,1.5006,-4.0218
1.719,1.5009,-4.0229
1.83,1.5012,-4.0235
1.953,1.5013,-4.0237
2.058,1.5013,-4.0235
2.16,1.5013,-4.0235
2.268,1.5013,-4.0235
2.37,1.5013,-4.0233
2.478,1.5012,-4.0229
2.601,1.5011,-4.0227
2.706,1.5012,-4.023
2.817,1.5012,-4.023
2.94,1.5011,-4.0227
3.042,1.5009,-4.0222
3.147,1.5006,-4.0215
3.258,1.5005,-4.0213
3.36,1.5005,-4.0213
3.462,1.5005,-4.0212
3.57,1.5003,-4.0209
3.672,1.5,-4.0203
3.777,1.4998,-4.02
3.882,1.4996,-4.0195
3.987,1.4993,-4.0188
4.092,1.4988,-4.018
4.197,1.4985,-4.0175
4.302,1.4982,-4.017
4.41,1.498,-4.0166
4.512,1.4976,-4.016
4.617,1.4972,-4.0153
4.722,1.497,-4.015
4.827,1.4966,-4.0144
4.935,1.4963,-4.014
5.037,1.496,-4.0134
5.142,1.4955,-4.0127
5.247,1.495,-4.012
5.352,1.4945,-4.0113
5.457,1.4939,-4.0106
5.562,1.4936,-4.0101
5.667,1.4932,-4.0096
5.775,1.4928,-4.009
5.877,1.4923,-4.0083
5.979,1.4917,-4.0076
6.087,1.4912,-4.007
6.192,1.4907,-4.0064
6.297,1.4902,-4.0058
6.408,1.4898,-4.0054
6.528,1.4894,-4.0049
6.633,1.489,-4.0045
6.747,1.4884,-4.0038
6.87,1.4877,-4.003
6.99,1.4869,-4.0021
7.098,1.4863,-4.0015
7.2,1.4856,-4.0008
7.305,1.485,-4.0001
7.41,1.4843,-3.9994
7.515,1.4835,-3.9986
7.623,1.4827,-3.9979
7.731,1.4819,-3.9971
7.836,1.481,-3.9963
7.944,1.4801,-3.9955
8.055,1.4795,-3.9949
8.163,1.4789,-3.9943
8.271,1.4782,-3.9937
8.373,1.4776,-3.9933
8.484,1.4769,-3.9927
8.586,1.4764,-3.9923
8.694,1.4751,-3.9911
8.796,1.4735,-3.9898
8.898,1.4719,-3.9884
9.003,1.4703,-3.9871
9.111,1.4688,-3.9859
9.216,1.4672,-3.9847
9.324,1.4656,-3.9834
9.429,1.464,-3.9822
