t,x,y
0.0,1.5,-4.0
0.105,1.5,-4.0
0.21,1.4998,-4.0002
0.315,1.4992,-4.0009
0.42,1.4985,-4.0019
0.525,1.4979,-4.0032
0.63,1.4975,-4.0048
0.735,1.4972,-4.0066
0.846,1.4971,-4.0087
0.966,1.4972,-4.0113
1.071,1.4975,-4.0137
1.176,1.4981,-4.0161
1.281,1.499,-4.0186
1.386,1.5001,-4.0211
1.491,1.5014,-4.0235
1.596,1.503,-4.0259
1.701,1.5049,-4.0281
1.806,1.5066,-4.0299
1.911,1.502,-4.026
2.016,1.4881,-4.0159
2.121,1.4704,-4.0043
2.226,1.4521,-3.9935
2.337,1.4333,-3.9835
2.463,1.4106,-3.9718
2.574,1.3916,-3.9623
2.685,1.3686,-3.9512
2.79,1.3494,-3.9421
2.898,1.3301,-3.9334
3.006,1.3108,-3.9249
3.108,1.2914,-3.9167
3.213,1.2718,-3.9087
3.318,1.2522,-3.901
3.423,1.2324,-3.8935
3.528,1.2126,-3.8863
3.633,1.1926,-3.8794
3.738,1.1724,-3.8724
3.846,1.152,-3.8657
3.948,1.1316,-3.8593
4.053,1.1111,-3.8529
4.161,1.0905,-3.8467
4.263,1.0699,-3.8405
4.368,1.0493,-3.8344
4.479,1.0286,-3.8284
4.581,1.0078,-3.8224
4.686,0.9871,-3.8164
4.791,0.9661,-3.8103
4.893,0.9445,-3.804
4.998,0.9228,-3.7976
5.103,0.901,-3.7911
5.208,0.8793,-3.7844
5.313,0.8575,-3.7776
5.421,0.8358,-3.7707
5.523,0.8141,-3.7635
5.628,0.7925,-3.7561
5.733,0.7709,-3.7484
5.838,0.7494,-3.7405
5.943,0.7279,-3.7323
6.048,0.7065,-3.7239
6.153,0.6852,-3.715
6.258,0.664,-3.7058
6.366,0.643,-3.6962
6.471,0.6221,-3.6863
6.573,0.6013,-3.6759
6.678,0.5807,-3.665
6.783,0.5604,-3.6538
6.888,0.5402,-3.6421
6.993,0.5204,-3.6298
7.098,0.5008,-3.617
7.203,0.4814,-3.6037
7.308,0.4624,-3.5897
7.413,0.4438,-3.5753
7.518,0.4256,-3.5605
7.623,0.4079,-3.5451
7.728,0.3906,-3.5291
7.833,0.3738,-3.5126
7.938,0.3575,-3.4957
8.043,0.3418,-3.4782
8.148,0.3265,-3.4603
8.253,0.3118,-3.4419
8.358,0.2977,-3.423
8.466,0.2841,-3.4037
8.568,0.2711,-3.3841
8.673,0.2588,-3.3641
8.778,0.2471,-3.3437
8.88,0.236,-3.323
8.988,0.2255,-3.302
9.093,0.2156,-3.2808
9.198,0.2063,-3.2593
