t,x,y
0.0,4.0,-3.5
0.108,4.0,-3.5
0.21,3.9999,-3.5
0.315,3.9925,-3.4993
0.417,3.9739,-3.4978
0.522,3.9485,-3.4954
0.627,3.9218,-3.4916
0.732,3.8952,-3.4858
0.837,3.8685,-3.4779
0.942,3.8421,-3.4677
1.047,3.8172,-3.4552
1.152,3.7933,-3.44
1.257,3.771,-3.4226
1.362,3.7508,-3.403
1.467,3.7332,-3.3823
1.572,3.7169,-3.3591
1.677,3.7029,-3.3346
1.785,3.6913,-3.309
1.887,3.6816,-3.2826
1.995,3.6744,-3.2555
2.1,3.6689,-3.2281
2.202,3.6652,-3.2005
2.307,3.6628,-3.1729
2.415,3.6625,-3.1452
2.52,3.6627,-3.1175
2.622,3.6647,-3.09
2.727,3.6674,-3.0625
2.832,3.6709,-3.0352
2.937,3.6748,-3.008
3.042,3.6791,-2.9811
3.147,3.6845,-2.9547
3.252,3.6899,-2.9278
3.357,3.6953,-2.901
3.462,3.701,-2.8748
3.567,3.7067,-2.849
3.672,3.7119,-2.8225
3.777,3.7169,-2.796
3.906,3.7225,-2.7653
4.014,3.7265,-2.7386
4.134,3.7302,-2.707
4.239,3.7324,-2.6806
4.344,3.7337,-2.6554
4.452,3.7338,-2.6293
4.554,3.7326,-2.6025
4.659,3.7307,-2.5772
4.767,3.7277,-2.5504
4.869,3.723,-2.524
4.974,3.7173,-2.4981
5.079,3.7107,-2.4724
5.187,3.7025,-2.4468
5.313,3.6912,-2.4166
5.442,3.6787,-2.3873
5.562,3.6648,-2.3591
5.67,3.6516,-2.3362
5.772,3.6377,-2.3143
5.877,3.6225,-2.2922
5.985,3.6073,-2.2716
6.087,3.5903,-2.2508
6.192,3.5729,-2.2314
6.297,3.5543,-2.2122
6.402,3.5356,-2.1944
6.51,3.5154,-2.1766
6.615,3.4951,-2.1601
6.717,3.474,-2.1442
6.822,3.4526,-2.1294
6.924,3.4307,-2.1154
7.032,3.4078,-2.102
7.137,3.3849,-2.0898
7.242,3.3612,-2.0782
7.347,3.3369,-2.0675
7.452,3.3119,-2.0572
7.557,3.2877,-2.0483
7.662,3.2635,-2.0403
7.767,3.2386,-2.033
7.875,3.2127,-2.0261
7.977,3.1876,-2.0201
8.082,3.1612,-2.0145
8.187,3.135,-2.0093
8.292,3.1088,-2.0047
8.403,3.0828,-2.0005
8.523,3.0505,-1.9959
8.628,3.0237,-1.9923
8.733,2.9978,-1.9887
8.838,2.9715,-1.9852
8.943,2.945,-1.9817
9.048,2.9179,-1.978
9.153,2.8918,-1.9743
9.258,2.8653,-1.9704
9.363,2.8384,-1.966
9.468,2.8125,-1.9617
9.579,2.7856,-1.9566
9.684,2.7591,-1.9514
9.804,2.7269,-1.9443
9.912,2.7002,-1.9375
10.017,2.6736,-1.9307
10.119,2.6472,-1.9231
10.239,2.6209,-1.9149
10.35,2.5895,-1.9048
10.455,2.5636,-1.8956
10.563,2.5379,-1.8859
10.668,2.5125,-1.8754
10.77,2.4872,-1.8644
10.872,2.4622,-1.8528
10.98,2.4379,-1.8404
11.088,2.4139,-1.8277
11.193,2.3902,-1.8142
11.295,2.3673,-1.8002
11.397,2.345,-1.7853
11.505,2.3226,-1.7691
11.613,2.3005,-1.7525
11.718,2.2794,-1.7357
11.82,2.2587,-1.7174
11.925,2.2384,-1.6986
12.03,2.2193,-1.6793
12.135,2.2019,-1.6606
12.24,2.1836,-1.6399
12.345,2.1674,-1.6202
12.45,2.1515,-1.5994
12.555,2.1362,-1.5781
12.663,2.1209,-1.5553
12.765,2.107,-1.5334
12.87,2.0935,-1.5106
12.987,2.0802,-1.4868
13.089,2.0675,-1.4626
13.203,2.054,-1.4346
13.311,2.0432,-1.4104
13.425,2.0326,-1.385
13.527,2.0235,-1.3613
13.65,2.0133,-1.3318
13.758,2.0052,-1.3061
13.878,1.9964,-1.2747
13.983,1.9895,-1.2482
14.088,1.9834,-1.2229
14.205,1.9778,-1.1965
14.322,1.9719,-1.1657
14.427,1.9669,-1.139
14.529,1.9625,-1.1128
14.634,1.9584,-1.0864
14.745,1.9545,-1.0603
14.868,1.95,-1.029
14.97,1.9463,-1.0031
15.075,1.9427,-0.9768
15.18,1.9391,-0.95
15.288,1.9353,-0.923
15.39,1.9312,-0.8961
15.498,1.9271,-0.8697
15.6,1.9228,-0.8439
15.711,1.918,-0.8176
15.813,1.9128,-0.7911
15.915,1.9071,-0.7649
16.023,1.9007,-0.7387
16.128,1.8939,-0.7125
16.23,1.8864,-0.6865
16.335,1.8784,-0.6606
16.44,1.8698,-0.6352
16.545,1.861,-0.6112
16.65,1.8512,-0.5868
16.755,1.8404,-0.562
16.86,1.8288,-0.5377
16.965,1.8167,-0.5134
17.07,1.8039,-0.4896
17.175,1.791,-0.4673
17.28,1.7774,-0.4453
17.382,1.7627,-0.4228
17.496,1.7476,-0.4012
17.616,1.7291,-0.3764
17.721,1.7123,-0.3552
17.826,1.6955,-0.3352
17.931,1.6779,-0.3153
18.036,1.6596,-0.296
18.141,1.6406,-0.2774
18.249,1.6209,-0.2592
18.351,1.6013,-0.2416
18.456,1.581,-0.2248
18.561,1.5597,-0.2083
18.669,1.5392,-0.1935
18.774,1.5173,-0.1786
18.897,1.4903,-0.1614
19.002,1.4676,-0.1479
19.107,1.4455,-0.1355
19.215,1.4227,-0.1237
19.317,1.3987,-0.1119
19.425,1.3751,-0.1012
19.53,1.3515,-0.0913
19.632,1.3276,-0.082
19.737,1.3021,-0.0729
19.842,1.2782,-0.0651
19.947,1.2526,-0.0573
20.052,1.2285,-0.0505
20.157,1.2031,-0.044
20.265,1.1778,-0.0381
20.367,1.1515,-0.0321
20.472,1.1262,-0.0267
20.577,1.0996,-0.0214
20.682,1.0737,-0.0164
20.787,1.0469,-0.0114
20.892,1.021,-0.0067
21.0,0.9952,-0.0022
21.102,0.9687,0.0024
21.21,0.9421,0.0072
21.312,0.9158,0.0117
21.42,0.8893,0.0164
21.525,0.8626,0.0213
21.627,0.8357,0.0266
21.735,0.8094,0.032
21.837,0.7827,0.0378
21.942,0.7573,0.0436
22.047,0.7318,0.0499
22.152,0.7053,0.0569
22.266,0.6798,0.0641
22.395,0.6496,0.0732
22.503,0.6206,0.0826
22.614,0.5949,0.0916
22.719,0.5701,0.1008
22.824,0.545,0.1108
22.929,0.5196,0.1216
23.031,0.4945,0.133
23.139,0.4697,0.145
23.25,0.4454,0.1575
23.37,0.4177,0.173
23.475,0.394,0.1871
23.577,0.3714,0.2014
23.685,0.3489,0.2166
23.79,0.3275,0.232
23.895,0.3055,0.2487
23.997,0.285,0.2653
24.108,0.2643,0.2831
24.21,0.244,0.3019
24.315,0.2241,0.3208
24.42,0.2064,0.3388
24.525,0.1884,0.3584
24.633,0.1711,0.3784
24.738,0.1539,0.3995
24.84,0.1377,0.4205
24.945,0.1219,0.4422
25.05,0.1067,0.4644
25.155,0.0921,0.4869
25.26,0.078,0.5101
25.365,0.0649,0.533
25.467,0.0526,0.5561
25.575,0.0407,0.5799
25.683,0.0293,0.6044
25.809,0.017,0.6331
25.914,0.0075,0.6573
26.019,-0.0014,0.682
26.124,-0.01,0.708
26.226,-0.0176,0.733
26.331,-0.0247,0.7595
26.436,-0.031,0.7852
26.541,-0.037,0.8111
26.646,-0.0416,0.8336
26.751,-0.0466,0.86
26.856,-0.0505,0.8847
26.967,-0.0548,0.9109
27.069,-0.0585,0.9363
27.171,-0.0622,0.9627
27.276,-0.0658,0.989
27.384,-0.0692,1.0149
27.486,-0.0726,1.0417
27.594,-0.0762,1.0687
27.696,-0.0797,1.0952
27.801,-0.0837,1.1221
27.906,-0.0877,1.1479
28.011,-0.0919,1.1739
28.119,-0.097,1.2004
28.224,-0.1023,1.227
28.326,-0.1085,1.2533
28.434,-0.1149,1.2787
