t,x,y
0.0,4.0,0.5
0.105,4.0,0.5
0.21,3.9992,0.4999
0.318,3.9939,0.4997
0.42,3.9879,0.4996
0.525,3.9834,0.4992
0.627,3.9805,0.4989
0.735,3.978,0.4985
0.84,3.9747,0.498
0.951,3.9702,0.4974
1.053,3.9651,0.4965
1.155,3.9592,0.4953
1.263,3.9517,0.4935
1.368,3.9425,0.491
1.476,3.9327,0.4879
1.599,3.9204,0.4833
1.701,3.9088,0.4785
1.806,3.8958,0.4724
1.908,3.882,0.4654
2.019,3.8669,0.4569
2.124,3.8504,0.4469
2.25,3.8301,0.4335
2.352,3.8135,0.4217
2.457,3.7969,0.409
2.562,3.7802,0.3957
2.67,3.7635,0.3815
2.775,3.7471,0.367
2.877,3.7307,0.3519
2.982,3.714,0.3359
3.087,3.697,0.3193
3.192,3.68,0.3022
3.297,3.6634,0.2853
3.402,3.6474,0.2688
3.507,3.6313,0.2523
3.612,3.6153,0.2359
3.717,3.5991,0.2196
3.822,3.5827,0.2033
3.927,3.5657,0.1869
4.032,3.5483,0.1706
4.137,3.5308,0.1547
4.242,3.5127,0.139
4.347,3.4944,0.1237
4.455,3.476,0.1092
4.557,3.4572,0.0951
4.665,3.4377,0.0814
4.77,3.4177,0.0683
4.875,3.3973,0.0559
4.998,3.3718,0.0416
5.106,3.3498,0.0305
5.208,3.3269,0.02
5.313,3.3034,0.0102
5.418,3.2795,0.0013
5.523,3.2545,-0.007
5.628,3.2287,-0.0145
5.736,3.202,-0.0212
5.838,3.1749,-0.027
5.943,3.1478,-0.032
6.051,3.1206,-0.036
6.153,3.0932,-0.0392
6.258,3.0659,-0.0417
6.363,3.0386,-0.0434
6.471,3.0112,-0.0445
6.573,2.9838,-0.045
6.678,2.9564,-0.0448
6.783,2.9289,-0.0442
6.885,2.9016,-0.0432
6.993,2.8742,-0.0417
7.101,2.8469,-0.0399
7.203,2.8197,-0.0379
7.314,2.7926,-0.0358
7.437,2.7601,-0.0332
7.539,2.733,-0.031
7.644,2.7059,-0.029
7.749,2.6788,-0.0272
7.854,2.6516,-0.0256
7.959,2.6245,-0.0244
8.067,2.5974,-0.0235
8.172,2.5702,-0.0228
8.277,2.5429,-0.0223
8.4,2.5102,-0.0219
8.523,2.4829,-0.0218
8.652,2.4501,-0.0218
8.769,2.4173,-0.0218
8.88,2.3845,-0.0217
8.997,2.3572,-0.0215
9.114,2.3243,-0.021
9.219,2.297,-0.0206
9.324,2.2697,-0.0199
9.429,2.2423,-0.0192
9.534,2.215,-0.0184
9.639,2.1877,-0.0174
9.747,2.1604,-0.0164
9.849,2.1332,-0.0153
9.954,2.1059,-0.0142
10.059,2.0786,-0.013
10.164,2.0513,-0.0119
10.269,2.0241,-0.0107
10.374,1.9968,-0.0096
10.482,1.9695,-0.0085
10.584,1.9423,-0.0075
10.692,1.915,-0.0065
10.794,1.8878,-0.0056
10.899,1.8605,-0.0047
11.001,1.8333,-0.004
11.109,1.806,-0.0033
11.214,1.7788,-0.0028
11.319,1.7515,-0.0024
11.427,1.7243,-0.002
11.529,1.697,-0.0018
11.634,1.6698,-0.0017
11.742,1.6425,-0.0017
11.844,1.6152,-0.0018
11.949,1.5879,-0.002
12.054,1.5607,-0.0022
12.156,1.5334,-0.0025
12.264,1.5062,-0.0028
12.369,1.4789,-0.0032
12.474,1.4517,-0.0036
12.579,1.4244,-0.0041
12.684,1.3972,-0.0046
12.792,1.3704,-0.005
12.894,1.3434,-0.0055
12.996,1.3164,-0.006
13.107,1.2891,-0.0065
13.209,1.2621,-0.0069
13.314,1.2351,-0.0073
13.419,1.2081,-0.0077
13.524,1.1809,-0.008
13.632,1.1536,-0.0082
13.761,1.121,-0.0084
13.881,1.0894,-0.0084
13.986,1.0633,-0.0082
14.091,1.0376,-0.0079
14.196,1.0119,-0.0075
14.307,0.9866,-0.0069
14.424,0.9559,-0.0059
14.535,0.9297,-0.0048
14.646,0.9036,-0.0034
14.751,0.8782,-0.0018
14.874,0.8469,0.0005
14.979,0.8208,0.0028
15.081,0.7948,0.0054
15.186,0.7691,0.0083
15.288,0.7434,0.0117
15.399,0.7182,0.0153
15.519,0.6879,0.0203
15.624,0.6628,0.025
15.735,0.6375,0.0303
15.858,0.6072,0.0374
15.96,0.582,0.0441
16.062,0.5564,0.0516
16.173,0.5315,0.0597
16.302,0.5019,0.0705
16.413,0.4776,0.0804
16.527,0.4492,0.0932
16.632,0.4266,0.1044
16.74,0.4042,0.1166
16.842,0.382,0.1299
16.947,0.3602,0.144
17.049,0.3388,0.1592
17.157,0.3176,0.1755
17.262,0.2963,0.1932
17.367,0.2758,0.2117
17.469,0.2559,0.231
17.574,0.2369,0.2508
17.682,0.2185,0.2715
17.784,0.2043,0.2884
17.922,0.184,0.3145
18.024,0.1646,0.3413
18.126,0.1493,0.3643
18.249,0.1318,0.3923
18.354,0.118,0.4161
18.459,0.1049,0.4403
18.567,0.0924,0.4648
18.669,0.0805,0.4896
18.783,0.0693,0.5147
18.897,0.0568,0.5449
19.005,0.047,0.5705
19.11,0.0378,0.5962
