t,x,y
0.0,4.0,-3.5
0.105,4.0,-3.5
0.207,4.0,-3.4999
0.315,3.9999,-3.4993
0.42,3.9997,-3.4987
0.522,3.9994,-3.4979
0.627,3.999,-3.497
0.735,3.9986,-3.496
0.837,3.9981,-3.495
0.945,3.9976,-3.494
1.047,3.9971,-3.4929
1.155,3.9966,-3.4916
1.257,3.9961,-3.4903
1.362,3.9958,-3.4889
1.467,3.9936,-3.4858
1.572,3.9853,-3.4744
1.677,3.973,-3.4532
1.782,3.9615,-3.4284
1.887,3.9517,-3.4023
1.992,3.9436,-3.3758
2.097,3.9369,-3.3491
2.202,3.9317,-3.3221
2.307,3.9273,-3.295
2.412,3.9235,-3.2678
2.517,3.9201,-3.2405
2.622,3.9173,-3.2132
2.727,3.9149,-3.1858
2.838,3.9129,-3.1585
2.943,3.9113,-3.1311
3.045,3.9099,-3.1038
3.147,3.9088,-3.0765
3.252,3.9077,-3.0492
3.357,3.9066,-3.022
3.465,3.9054,-2.9948
3.567,3.9041,-2.9676
3.672,3.9025,-2.9405
3.777,3.9005,-2.9134
3.882,3.8982,-2.8864
3.987,3.8954,-2.8594
4.098,3.892,-2.8325
4.218,3.8874,-2.8004
4.323,3.8829,-2.7736
4.428,3.8778,-2.747
4.533,3.872,-2.7206
4.638,3.8656,-2.6943
4.743,3.8585,-2.6681
4.848,3.8508,-2.6422
4.953,3.8423,-2.6165
5.055,3.8331,-2.5911
5.163,3.8234,-2.5665
5.268,3.8129,-2.5422
5.373,3.8017,-2.5179
5.478,3.7897,-2.494
5.583,3.7771,-2.4706
5.688,3.764,-2.4481
5.793,3.7502,-2.4261
5.898,3.7358,-2.4045
6.006,3.7208,-2.3833
6.108,3.7051,-2.3626
6.21,3.6887,-2.3423
6.321,3.6717,-2.3225
6.444,3.6541,-2.3034
6.549,3.6319,-2.2806
6.651,3.6123,-2.262
6.765,3.5922,-2.2439
6.867,3.5716,-2.2264
6.972,3.5504,-2.2095
7.074,3.5288,-2.1932
7.179,3.5067,-2.1776
7.287,3.4842,-2.1626
7.392,3.4616,-2.1485
7.497,3.4391,-2.1354
7.599,3.4153,-2.1225
7.704,3.3912,-2.1102
7.809,3.3668,-2.0986
7.914,3.342,-2.0877
8.019,3.3169,-2.0775
8.124,3.2916,-2.0679
8.229,3.266,-2.0589
8.334,3.2402,-2.0505
8.439,3.2142,-2.0427
8.547,3.1881,-2.0354
8.649,3.1618,-2.0286
8.757,3.1354,-2.0221
8.859,3.1088,-2.0161
8.964,3.0822,-2.0104
9.069,3.0555,-2.005
9.177,3.0288,-1.9998
9.279,3.002,-1.9947
9.387,2.9751,-1.9898
9.492,2.9483,-1.9848
9.597,2.9214,-1.9798
9.702,2.8945,-1.9747
9.804,2.8676,-1.9694
9.909,2.8408,-1.9639
10.017,2.814,-1.9582
10.119,2.7872,-1.9521
10.224,2.7605,-1.9458
10.329,2.7339,-1.939
10.434,2.7074,-1.9319
10.548,2.681,-1.9244
10.665,2.6495,-1.9147
10.77,2.6234,-1.9062
10.878,2.5974,-1.897
10.983,2.5717,-1.8874
11.085,2.5461,-1.8772
11.19,2.5208,-1.8665
11.298,2.4957,-1.8551
11.403,2.4709,-1.843
11.505,2.4465,-1.8303
11.61,2.4224,-1.817
11.715,2.3986,-1.803
11.82,2.3753,-1.7883
11.922,2.3523,-1.773
12.03,2.3299,-1.757
12.132,2.308,-1.7403
12.24,2.2864,-1.7231
12.345,2.2654,-1.7053
12.453,2.245,-1.6868
12.555,2.2251,-1.6677
12.66,2.2057,-1.6481
12.765,2.1869,-1.6279
12.87,2.1687,-1.6071
12.978,2.1512,-1.586
13.08,2.1346,-1.5646
13.185,2.1189,-1.543
13.29,2.1038,-1.5209
13.395,2.0891,-1.498
13.5,2.075,-1.4744
13.605,2.0615,-1.4504
13.71,2.0488,-1.4259
13.815,2.0367,-1.4011
13.92,2.0254,-1.376
14.025,2.0147,-1.3507
14.13,2.0047,-1.325
14.235,1.9953,-1.2992
