t,x,y
0.0,4.0,0.5
0.102,4.0,0.5
0.207,3.9998,0.5
0.312,3.992,0.4992
0.417,3.9735,0.4977
0.522,3.9472,0.4952
0.627,3.9208,0.4917
0.732,3.8945,0.487
0.837,3.8684,0.4809
0.945,3.8428,0.4731
1.047,3.8176,0.4639
1.155,3.7932,0.4538
1.257,3.7692,0.4431
1.368,3.7457,0.4321
1.47,3.7211,0.4202
1.572,3.6966,0.4087
1.68,3.6714,0.3971
1.782,3.6471,0.3869
1.887,3.6211,0.3772
1.992,3.5951,0.3688
2.097,3.569,0.3613
2.202,3.5431,0.3552
2.304,3.5165,0.3497
2.412,3.4898,0.3454
2.514,3.4632,0.342
2.625,3.4364,0.3392
2.727,3.4096,0.337
2.832,3.3823,0.3354
2.937,3.3563,0.3345
3.042,3.3292,0.334
3.147,3.3023,0.3338
3.252,3.2753,0.3338
3.357,3.2499,0.3343
3.462,3.2238,0.3349
3.567,3.197,0.3359
3.672,3.1699,0.3372
3.777,3.1437,0.3387
3.882,3.1165,0.3406
3.99,3.0895,0.3424
4.095,3.0622,0.345
4.197,3.0356,0.3479
4.302,3.0089,0.3517
4.407,2.9824,0.3562
4.512,2.9552,0.3614
4.617,2.9281,0.3672
4.722,2.9017,0.3737
4.827,2.8763,0.3812
4.935,2.8501,0.3897
5.037,2.8241,0.399
5.142,2.7989,0.4089
5.25,2.7737,0.4195
5.352,2.7497,0.4296
5.457,2.7249,0.4409
5.562,2.7005,0.4525
5.67,2.6759,0.4645
5.772,2.6518,0.4764
5.877,2.6273,0.4884
5.982,2.603,0.5008
6.087,2.5791,0.5129
6.207,2.5549,0.5254
6.318,2.5265,0.5397
6.42,2.5023,0.5525
6.531,2.478,0.565
6.642,2.449,0.5801
6.747,2.4349,0.5875
6.855,2.4067,0.602
6.969,2.3781,0.6171
7.077,2.3539,0.6298
7.179,2.3296,0.6423
7.284,2.3055,0.6551
7.389,2.2813,0.6678
7.494,2.2572,0.6807
7.599,2.2331,0.6936
7.704,2.2092,0.7071
7.812,2.1854,0.721
7.914,2.1625,0.7347
8.019,2.1397,0.7489
8.124,2.1166,0.764
8.229,2.0939,0.7795
8.334,2.0726,0.7953
8.439,2.0514,0.8112
8.544,2.0306,0.8277
8.649,2.0101,0.8444
8.754,1.989,0.8618
8.859,1.9684,0.8797
8.964,1.9478,0.8977
9.069,1.9273,0.9159
9.177,1.9069,0.934
9.279,1.8866,0.9523
9.384,1.8664,0.9707
9.486,1.8464,0.9888
9.594,1.8263,1.0073
9.702,1.8065,1.0253
9.804,1.7864,1.0438
9.909,1.7664,1.0624
10.014,1.7463,1.0808
10.119,1.7262,1.0994
10.224,1.7065,1.1179
