t,x,y
0.0,4.0,0.5
0.105,4.0,0.5
0.213,4.0,0.5
0.339,3.9979,0.4998
0.441,3.9924,0.4996
0.546,3.9879,0.4994
0.651,3.9838,0.499
0.756,3.9797,0.4986
0.861,3.9748,0.498
0.969,3.9685,0.4973
1.08,3.9605,0.4961
1.182,3.9516,0.4945
1.284,3.9404,0.4925
1.386,3.9272,0.49
1.491,3.9123,0.4867
1.596,3.896,0.4827
1.701,3.8785,0.4783
1.809,3.8598,0.4737
1.911,3.8398,0.4689
2.019,3.8184,0.464
2.124,3.7955,0.4592
2.226,3.7709,0.4545
2.331,3.745,0.45
2.436,3.7182,0.446
2.541,3.691,0.4423
2.643,3.6637,0.4391
2.751,3.6365,0.4364
2.856,3.6092,0.4341
2.961,3.5819,0.4321
3.063,3.5546,0.4304
3.171,3.5272,0.429
3.279,3.4998,0.428
3.381,3.4726,0.4272
3.486,3.4452,0.4267
3.594,3.4178,0.4263
3.696,3.3905,0.4261
3.804,3.3632,0.426
3.909,3.3359,0.4261
4.011,3.3086,0.4262
4.116,3.2813,0.4263
4.221,3.254,0.4266
4.326,3.2267,0.4271
4.434,3.1993,0.4275
4.536,3.1719,0.4281
4.641,3.1446,0.4288
4.746,3.1172,0.4297
4.848,3.0899,0.4308
4.956,3.0626,0.4321
5.061,3.0353,0.4335
5.166,3.008,0.4352
5.271,2.9812,0.4372
5.376,2.9553,0.4396
5.481,2.9298,0.4422
5.586,2.9044,0.4452
5.691,2.8792,0.4487
5.799,2.8534,0.4529
5.901,2.8274,0.4576
6.006,2.8011,0.4631
6.111,2.7746,0.4692
6.219,2.748,0.476
6.324,2.7216,0.4835
6.429,2.6953,0.4915
6.531,2.6692,0.5002
6.633,2.6433,0.5094
6.741,2.6176,0.5192
6.846,2.5922,0.5295
6.957,2.5669,0.5404
7.059,2.542,0.5517
7.161,2.5172,0.5636
7.266,2.4935,0.5758
7.371,2.4704,0.5884
7.482,2.4476,0.6015
7.602,2.42,0.6182
7.707,2.397,0.6332
7.812,2.3743,0.6488
7.92,2.352,0.665
8.022,2.3302,0.6817
8.127,2.3087,0.6989
8.232,2.2877,0.7166
8.34,2.2671,0.7347
8.442,2.2468,0.7532
8.55,2.2269,0.7721
8.652,2.2072,0.7912
8.757,2.1879,0.8106
8.862,2.1688,0.8303
8.967,2.1499,0.8501
9.093,2.1274,0.8739
9.201,2.1088,0.8938
9.303,2.0902,0.9138
9.411,2.0716,0.9337
9.531,2.0492,0.9574
9.639,2.0304,0.977
9.753,2.0114,0.9965
9.855,1.9923,1.0159
9.975,1.9691,1.0389
10.08,1.9496,1.0579
10.188,1.93,1.0768
10.311,1.9062,1.0992
10.419,1.8862,1.1177
10.524,1.8661,1.1361
10.65,1.8419,1.1581
10.752,1.8216,1.1764
10.857,1.8012,1.1945
10.962,1.7808,1.2126
11.07,1.7604,1.2307
11.172,1.7399,1.2488
11.277,1.7195,1.2669
11.382,1.6989,1.2845
11.487,1.6782,1.3022
11.592,1.6575,1.3198
11.7,1.6366,1.3371
11.802,1.6156,1.3543
11.907,1.5943,1.3712
12.012,1.5728,1.3879
12.117,1.5512,1.4043
12.222,1.5293,1.4205
12.327,1.5072,1.4362
12.438,1.485,1.4515
12.558,1.4581,1.4694
12.663,1.4352,1.4841
12.768,1.4122,1.4984
12.873,1.3889,1.5123
12.978,1.3653,1.5258
13.083,1.3415,1.5389
13.185,1.3175,1.5517
13.293,1.2933,1.5641
13.398,1.269,1.5762
13.509,1.2444,1.588
13.614,1.2198,1.5996
13.716,1.195,1.611
13.818,1.1702,1.6222
13.92,1.1452,1.6332
14.028,1.1203,1.6442
14.133,1.0952,1.6551
14.235,1.0702,1.6661
14.343,1.0451,1.6769
14.448,1.0201,1.6878
14.556,0.9951,1.6987
14.658,0.97,1.7097
14.766,0.945,1.7207
14.877,0.9201,1.7318
14.994,0.8901,1.7452
15.099,0.8652,1.7565
15.204,0.8404,1.7679
15.309,0.8156,1.7794
15.414,0.7908,1.7908
15.519,0.766,1.8023
15.624,0.7413,1.8139
15.732,0.7166,1.8254
15.834,0.6919,1.837
15.939,0.6672,1.8485
16.047,0.6424,1.86
16.149,0.6176,1.8714
16.26,0.5928,1.8828
16.38,0.563,1.8963
16.488,0.5381,1.9074
16.593,0.5132,1.9184
16.698,0.4883,1.9294
16.821,0.4583,1.9424
16.926,0.4332,1.9531
17.031,0.4081,1.9637
17.139,0.3829,1.9743
17.241,0.3577,1.9848
17.346,0.3325,1.9952
17.451,0.3073,2.0056
17.556,0.282,2.016
17.664,0.2568,2.0263
17.769,0.2315,2.0367
17.883,0.2063,2.0472
17.994,0.1791,2.0581
18.096,0.1588,2.066
18.204,0.1397,2.0732
18.315,0.1212,2.0799
18.441,0.0989,2.0875
18.543,0.08,2.0935
18.648,0.0603,2.0993
18.753,0.0394,2.1048
18.879,0.0124,2.1112
18.984,-0.0116,2.116
19.089,-0.0369,2.1204
19.197,-0.0632,2.1244
19.299,-0.0899,2.1278
19.407,-0.1167,2.1307
19.509,-0.1437,2.1331
