t,x,y
0.0,3.5,-4.0
0.108,3.5,-4.0
0.234,3.4996,-4.0001
0.354,3.4987,-4.0003
0.459,3.4977,-4.0008
0.564,3.4968,-4.0014
0.669,3.496,-4.0021
0.777,3.4952,-4.003
0.879,3.4945,-4.0042
0.984,3.494,-4.0055
1.089,3.4936,-4.007
1.194,3.4923,-4.0064
1.299,3.4845,-3.9972
1.404,3.4681,-3.981
1.509,3.4476,-3.9637
1.614,3.4259,-3.9476
1.722,3.4033,-3.9325
1.824,3.38,-3.9184
1.932,3.3562,-3.9051
2.037,3.3323,-3.8922
2.139,3.3082,-3.8794
2.244,3.284,-3.8669
2.349,3.2597,-3.8546
2.454,3.2354,-3.8425
2.565,3.2109,-3.8307
2.667,3.1863,-3.819
2.769,3.1615,-3.8076
2.871,3.1367,-3.7964
2.979,3.1118,-3.7854
3.084,3.0868,-3.7746
3.189,3.0618,-3.7638
3.294,3.0367,-3.7529
3.399,3.0116,-3.7423
3.504,2.9864,-3.7317
3.609,2.9612,-3.721
3.717,2.9361,-3.7103
3.819,2.911,-3.6996
3.924,2.8859,-3.6889
4.029,2.8608,-3.6781
4.134,2.8357,-3.6674
4.242,2.8107,-3.6562
4.344,2.7857,-3.645
4.449,2.7607,-3.6337
4.554,2.7358,-3.6222
4.659,2.7111,-3.6103
4.764,2.6865,-3.5983
4.869,2.6621,-3.5859
4.974,2.6378,-3.5732
5.082,2.6136,-3.5603
5.184,2.5896,-3.547
5.289,2.566,-3.5328
5.397,2.5425,-3.5185
5.499,2.5192,-3.5037
5.604,2.4963,-3.4885
5.709,2.4738,-3.4726
5.814,2.4516,-3.4563
5.919,2.4299,-3.4394
6.027,2.4086,-3.422
6.129,2.3877,-3.4042
6.237,2.3672,-3.3859
6.339,2.347,-3.3673
6.45,2.3271,-3.3483
6.555,2.3077,-3.329
6.684,2.2847,-3.3055
6.804,2.2621,-3.2815
6.909,2.2436,-3.2613
7.014,2.2254,-3.2409
7.116,2.2074,-3.2202
7.221,2.1896,-3.1994
7.332,2.172,-3.1784
7.449,2.1512,-3.153
7.56,2.134,-3.1317
7.662,2.117,-3.1103
7.77,2.1001,-3.0888
7.875,2.0833,-3.0672
7.977,2.0667,-3.0455
8.085,2.0501,-3.0237
8.187,2.0337,-3.002
8.292,2.0173,-2.9801
8.397,2.0009,-2.9582
8.505,1.9846,-2.9363
8.607,1.9683,-2.9144
8.712,1.9521,-2.8924
8.832,1.9357,-2.8706
8.943,1.9161,-2.8445
9.048,1.8997,-2.8227
9.153,1.8833,-2.8009
9.255,1.8667,-2.7793
9.366,1.8501,-2.7577
9.468,1.8333,-2.7362
9.573,1.8165,-2.7147
9.678,1.7996,-2.6933
9.786,1.7825,-2.6722
9.888,1.765,-2.6514
9.993,1.7475,-2.6307
10.098,1.7298,-2.6101
10.203,1.7117,-2.5898
10.308,1.6934,-2.5697
10.413,1.6747,-2.55
10.518,1.6558,-2.5305
10.623,1.6365,-2.5113
10.728,1.6171,-2.4923
10.833,1.5974,-2.4735
10.938,1.5775,-2.4549
11.043,1.5574,-2.4366
11.148,1.5371,-2.4184
11.253,1.5167,-2.4003
11.358,1.4961,-2.3825
11.463,1.4754,-2.3648
11.568,1.4546,-2.3472
11.673,1.4337,-2.3297
11.781,1.4127,-2.3124
11.883,1.3915,-2.2952
11.988,1.3703,-2.2782
12.093,1.3489,-2.2612
12.198,1.3275,-2.2443
12.303,1.306,-2.2276
12.408,1.2844,-2.211
12.516,1.2627,-2.1944
12.621,1.241,-2.1779
12.723,1.2192,-2.1615
12.828,1.1974,-2.1451
12.933,1.1756,-2.1287
13.044,1.1537,-2.1123
13.146,1.1319,-2.0959
13.251,1.11,-2.0795
13.353,1.0882,-2.0631
13.458,1.0664,-2.0466
13.563,1.0446,-2.0301
13.668,1.0229,-2.0136
13.773,1.0012,-1.9971
13.878,0.9795,-1.9804
13.983,0.9578,-1.9638
14.091,0.9362,-1.9472
14.193,0.9145,-1.9304
14.298,0.893,-1.9137
14.403,0.8714,-1.8969
14.508,0.8499,-1.8801
14.613,0.8284,-1.8632
14.718,0.807,-1.8463
14.826,0.7856,-1.8292
14.931,0.7643,-1.812
15.039,0.743,-1.7948
15.159,0.7176,-1.7741
15.264,0.6966,-1.7566
15.366,0.6756,-1.7391
15.474,0.6547,-1.7214
15.582,0.6339,-1.7037
15.699,0.6091,-1.6822
15.825,0.5886,-1.664
15.936,0.5643,-1.6418
16.038,0.5442,-1.6231
16.158,0.5243,-1.6042
16.266,0.5008,-1.5811
16.38,0.4815,-1.5616
16.485,0.4626,-1.5417
16.59,0.4439,-1.5217
16.695,0.4255,-1.5014
16.797,0.4073,-1.4809
16.908,0.3894,-1.4602
17.028,0.3681,-1.4352
17.136,0.3506,-1.4141
17.238,0.3333,-1.393
17.346,0.3161,-1.3717
17.448,0.2991,-1.3503
17.553,0.2822,-1.3287
17.664,0.2654,-1.3071
17.784,0.2455,-1.281
17.889,0.2291,-1.2592
17.994,0.2127,-1.2372
18.099,0.1965,-1.2152
18.204,0.1804,-1.1931
18.306,0.1644,-1.171
18.414,0.1484,-1.1488
18.519,0.1326,-1.1266
18.624,0.1168,-1.1043
18.729,0.101,-1.082
18.837,0.0853,-1.0597
18.942,0.0696,-1.0374
19.065,0.0507,-1.0105
19.17,0.0351,-0.9882
19.275,0.0194,-0.9658
19.38,0.0037,-0.9435
19.485,-0.012,-0.9212
19.59,-0.0277,-0.8989
19.698,-0.0435,-0.8766
19.803,-0.0593,-0.8544
19.905,-0.0751,-0.8322
20.01,-0.091,-0.81
20.115,-0.1069,-0.7879
20.22,-0.1229,-0.7658
20.328,-0.139,-0.7437
20.43,-0.155,-0.7216
20.535,-0.1711,-0.6995
20.64,-0.1872,-0.6775
20.745,-0.2034,-0.6555
20.85,-0.2195,-0.6335
20.955,-0.2357,-0.6115
21.06,-0.2519,-0.5895
21.168,-0.2681,-0.5676
21.27,-0.2843,-0.5456
21.375,-0.3005,-0.5237
21.48,-0.3173,-0.5023
21.585,-0.3342,-0.4812
21.69,-0.3512,-0.4602
21.795,-0.3686,-0.4394
21.9,-0.3864,-0.419
22.008,-0.4047,-0.3989
22.11,-0.4234,-0.3793
22.215,-0.4426,-0.3601
22.323,-0.4621,-0.3413
22.425,-0.482,-0.3227
22.533,-0.5021,-0.3044
22.635,-0.5226,-0.2864
22.74,-0.5432,-0.2688
22.845,-0.5641,-0.2513
22.95,-0.5851,-0.234
23.058,-0.6064,-0.2169
23.16,-0.6277,-0.2
23.265,-0.6492,-0.1833
