t,x,y
0.0,-0.5,-4.0
0.102,-0.5,-4.0
0.207,-0.4999,-3.9992
0.312,-0.499,-3.9892
0.423,-0.4973,-3.9681
0.543,-0.4939,-3.9349
0.651,-0.4903,-3.9086
0.756,-0.4854,-3.8829
0.858,-0.4789,-3.8567
0.963,-0.4716,-3.8329
1.071,-0.4629,-3.8084
1.173,-0.4527,-3.7838
1.278,-0.4416,-3.7597
1.383,-0.4301,-3.7367
1.491,-0.417,-3.7127
1.593,-0.4036,-3.6892
1.698,-0.3894,-3.6658
1.8,-0.3756,-3.6441
1.908,-0.361,-3.6211
2.013,-0.3463,-3.5981
2.118,-0.331,-3.5755
2.223,-0.3157,-3.5528
2.328,-0.3012,-3.5311
2.436,-0.2863,-3.5087
2.541,-0.2715,-3.4859
2.643,-0.2571,-3.4634
2.748,-0.2434,-3.4417
2.853,-0.2298,-3.4193
2.961,-0.2162,-3.3959
3.069,-0.2027,-3.3723
3.192,-0.1878,-3.3443
3.294,-0.1765,-3.3215
3.399,-0.1654,-3.2981
3.504,-0.1549,-3.2744
3.609,-0.1449,-3.2504
3.717,-0.1353,-3.2251
3.819,-0.1269,-3.2012
3.924,-0.1189,-3.1762
4.032,-0.1118,-3.152
4.134,-0.1054,-3.1294
4.239,-0.0994,-3.1049
4.344,-0.0935,-3.0788
4.449,-0.0885,-3.0541
4.557,-0.0836,-3.0276
4.662,-0.0793,-3.0023
4.764,-0.0753,-2.9758
4.869,-0.0718,-2.95
4.974,-0.0686,-2.9235
5.079,-0.0659,-2.8972
5.184,-0.0634,-2.8709
5.289,-0.0611,-2.845
5.394,-0.059,-2.8186
5.499,-0.0572,-2.7915
5.607,-0.0554,-2.7655
5.709,-0.0536,-2.7393
5.817,-0.0519,-2.7136
5.922,-0.0501,-2.6868
6.024,-0.0484,-2.661
6.129,-0.0466,-2.6341
6.234,-0.045,-2.6092
6.342,-0.0432,-2.5823
6.444,-0.0415,-2.5561
6.555,-0.0397,-2.5291
6.675,-0.0376,-2.4976
6.78,-0.0359,-2.471
6.885,-0.0341,-2.4442
6.996,-0.0325,-2.418
7.116,-0.0306,-2.3871
7.221,-0.0292,-2.3612
7.326,-0.0277,-2.334
7.431,-0.0263,-2.3088
7.542,-0.0251,-2.2835
7.674,-0.0236,-2.2525
7.797,-0.0223,-2.2198
7.899,-0.0213,-2.1935
8.022,-0.02,-2.161
8.124,-0.0191,-2.1339
8.232,-0.0182,-2.108
8.334,-0.0174,-2.0816
8.439,-0.0166,-2.0553
8.544,-0.0158,-2.0286
8.652,-0.0151,-2.0028
8.754,-0.0145,-1.9756
8.859,-0.0137,-1.9488
8.964,-0.0131,-1.9224
9.075,-0.0126,-1.8952
9.195,-0.012,-1.8639
9.303,-0.0114,-1.8366
9.405,-0.0109,-1.8107
9.513,-0.0104,-1.7853
9.618,-0.0099,-1.7599
9.72,-0.0096,-1.7334
9.825,-0.0091,-1.7071
9.936,-0.0087,-1.6801
10.062,-0.0083,-1.6491
10.182,-0.0079,-1.6171
10.287,-0.0076,-1.59
10.395,-0.0072,-1.5639
10.497,-0.0073,-1.5369
10.602,-0.0075,-1.5104
10.707,-0.0078,-1.4841
10.815,-0.0085,-1.458
10.917,-0.0096,-1.4314
11.022,-0.0109,-1.4042
11.127,-0.0125,-1.3774
11.232,-0.0148,-1.3518
11.34,-0.0174,-1.3249
11.466,-0.0207,-1.2935
11.571,-0.0239,-1.2665
11.673,-0.0274,-1.2396
11.781,-0.031,-1.2131
11.883,-0.0351,-1.1876
11.985,-0.0397,-1.161
12.093,-0.0441,-1.1341
12.198,-0.049,-1.1075
12.303,-0.0542,-1.082
12.408,-0.0598,-1.0554
12.513,-0.0654,-1.0288
12.618,-0.0715,-1.0024
12.726,-0.0778,-0.9776
12.828,-0.0839,-0.954
12.933,-0.0912,-0.928
13.038,-0.0989,-0.9019
13.143,-0.1069,-0.8764
13.248,-0.1154,-0.8512
13.353,-0.1244,-0.8256
13.458,-0.1336,-0.8006
13.563,-0.1435,-0.7753
13.671,-0.1536,-0.7509
13.776,-0.1642,-0.7267
13.878,-0.1756,-0.7022
13.986,-0.1871,-0.6777
14.088,-0.1991,-0.6539
14.193,-0.2119,-0.6299
14.298,-0.2249,-0.6061
14.403,-0.2384,-0.5826
14.511,-0.2524,-0.5593
14.619,-0.2668,-0.5363
14.721,-0.2816,-0.514
14.823,-0.2966,-0.493
14.928,-0.3119,-0.4716
15.033,-0.3283,-0.4504
15.144,-0.3454,-0.4294
15.246,-0.3631,-0.409
15.348,-0.381,-0.3894
15.453,-0.3995,-0.3703
15.558,-0.4186,-0.351
15.663,-0.438,-0.3327
15.768,-0.4583,-0.3148
15.873,-0.479,-0.2973
15.981,-0.4997,-0.2806
16.083,-0.521,-0.2642
16.188,-0.5427,-0.2481
16.293,-0.5643,-0.2329
16.398,-0.5865,-0.2181
16.503,-0.6092,-0.203
16.608,-0.6323,-0.1886
16.719,-0.6555,-0.1744
16.827,-0.6782,-0.1603
16.941,-0.7056,-0.1441
17.043,-0.7279,-0.1308
17.166,-0.7514,-0.117
17.286,-0.7797,-0.1005
17.409,-0.8081,-0.0842
17.511,-0.8316,-0.0703
17.616,-0.8552,-0.0566
17.724,-0.8789,-0.0431
17.826,-0.9022,-0.0296
17.931,-0.9253,-0.0163
18.036,-0.9482,-0.0033
18.141,-0.9719,0.0101
18.246,-0.9956,0.0236
18.351,-1.0182,0.0366
18.456,-1.0406,0.0494
18.561,-1.0644,0.0629
18.666,-1.0881,0.0764
18.774,-1.111,0.0895
18.879,-1.1343,0.1032
18.981,-1.1579,0.117
19.107,-1.1862,0.1334
19.215,-1.2097,0.1474
19.32,-1.2331,0.1614
19.422,-1.2558,0.175
19.527,-1.279,0.1895
19.632,-1.3024,0.2038
19.737,-1.3254,0.2186
19.842,-1.3475,0.2331
19.947,-1.3697,0.2478
20.055,-1.3919,0.2633
20.157,-1.4138,0.2788
20.265,-1.4351,0.2949
20.367,-1.4565,0.3117
20.475,-1.4768,0.328
20.577,-1.4976,0.3456
20.685,-1.5183,0.3637
20.787,-1.5382,0.3819
20.892,-1.5576,0.4005
21.003,-1.577,0.4192
21.105,-1.5961,0.4389
21.207,-1.6143,0.4581
21.312,-1.6327,0.4784
21.414,-1.6511,0.4988
21.525,-1.6686,0.5194
21.627,-1.6859,0.5405
21.732,-1.7023,0.5611
21.837,-1.7189,0.5828
21.939,-1.7343,0.6039
22.047,-1.7502,0.6263
22.149,-1.7657,0.6489
22.257,-1.7807,0.6719
22.362,-1.7948,0.6941
22.467,-1.8092,0.7175
22.572,-1.823,0.7402
22.677,-1.8368,0.7637
22.782,-1.8499,0.7867
22.887,-1.8632,0.8104
22.989,-1.876,0.8338
23.097,-1.8889,0.8576
23.202,-1.9015,0.8812
23.307,-1.914,0.9045
23.415,-1.9266,0.9288
23.517,-1.9395,0.9528
23.622,-1.9522,0.9769
23.727,-1.9645,1.0007
23.832,-1.9774,1.0247
23.94,-1.9903,1.0487
24.042,-2.003,1.0729
24.147,-2.0156,1.0962
24.252,-2.0286,1.1199
24.363,-2.0416,1.1435
24.483,-2.0573,1.1723
24.588,-2.0704,1.1962
24.696,-2.0837,1.2201
24.798,-2.0967,1.2437
24.903,-2.1098,1.2674
25.008,-2.1231,1.2912
25.113,-2.1364,1.315
25.218,-2.1493,1.3384
25.323,-2.1632,1.3618
25.431,-2.1776,1.3846
25.533,-2.1921,1.4073
25.638,-2.2069,1.4299
25.743,-2.2226,1.4519
25.848,-2.2391,1.4732
25.953,-2.2551,1.4933
26.058,-2.2728,1.5137
26.163,-2.2898,1.5321
26.268,-2.3077,1.5502
26.379,-2.3269,1.5692
26.499,-2.3511,1.5909
26.622,-2.3716,1.6085
26.73,-2.3966,1.6295
26.832,-2.4168,1.6454
26.94,-2.4384,1.6617
27.045,-2.4596,1.6772
27.15,-2.4806,1.6924
27.255,-2.503,1.7079
27.363,-2.525,1.7231
27.465,-2.5477,1.7382
27.57,-2.5695,1.7527
27.684,-2.5923,1.7677
27.804,-2.619,1.785
27.909,-2.6419,1.7998
28.017,-2.6646,1.8143
28.119,-2.6876,1.8288
28.221,-2.7103,1.8433
28.326,-2.7333,1.858
28.428,-2.7562,1.8724
28.536,-2.779,1.8869
28.641,-2.802,1.9017
28.749,-2.8248,1.9162
28.851,-2.8478,1.9308
28.956,-2.8704,1.9454
29.061,-2.8934,1.9602
29.166,-2.9163,1.975
29.274,-2.9389,1.9898
29.376,-2.9618,2.0047
29.478,-2.9841,2.0193
29.586,-3.0069,2.0344
29.694,-3.0296,2.0496
29.796,-3.0522,2.0652
29.901,-3.0747,2.0809
30.003,-3.0971,2.0968
30.111,-3.1193,2.113
30.216,-3.1412,2.1294
30.321,-3.1625,2.146
30.426,-3.1836,2.1627
30.531,-3.205,2.1797
30.639,-3.226,2.1972
30.744,-3.2469,2.2148
30.846,-3.2675,2.2329
30.951,-3.2876,2.2505
31.056,-3.3075,2.2682
31.164,-3.3275,2.2869
31.266,-3.3477,2.3054
31.377,-3.3676,2.3241
31.497,-3.3913,2.3467
31.602,-3.4109,2.3658
31.71,-3.4304,2.3849
31.812,-3.449,2.4036
31.917,-3.4682,2.4232
32.022,-3.4873,2.443
32.127,-3.506,2.4628
32.232,-3.5239,2.4823
32.34,-3.5421,2.5029
32.442,-3.5601,2.5235
32.547,-3.5776,2.5446
32.652,-3.595,2.5658
32.757,-3.6119,2.5868
32.862,-3.6282,2.609
32.967,-3.6437,2.6302
33.072,-3.6594,2.6526
33.177,-3.6744,2.675
33.282,-3.6888,2.6986
33.387,-3.7029,2.7223
33.492,-3.7162,2.7464
33.594,-3.7286,2.7698
33.702,-3.7406,2.7939
33.807,-3.7519,2.8185
33.912,-3.7624,2.8435
34.017,-3.7719,2.867
34.122,-3.781,2.8915
34.227,-3.7898,2.9168
34.332,-3.7984,2.9427
34.437,-3.8061,2.9683
34.545,-3.8132,2.9942
34.668,-3.8211,3.0253
34.773,-3.8272,3.0513
34.878,-3.833,3.0779
34.983,-3.8382,3.1036
35.088,-3.8431,3.1305
35.193,-3.8474,3.1565
35.298,-3.8518,3.1834
35.415,-3.8556,3.2091
35.529,-3.8599,3.241
35.658,-3.8637,3.2718
35.763,-3.8669,3.2984
35.871,-3.8699,3.3252
35.982,-3.8726,3.3507
36.093,-3.8759,3.3826
36.195,-3.878,3.404
36.306,-3.8814,3.4363
36.411,-3.8836,3.4614
36.516,-3.8863,3.4879
36.621,-3.8894,3.5149
36.726,-3.8926,3.5413
36.831,-3.8959,3.5664
36.939,-3.8994,3.5905
37.041,-3.9025,3.6125
37.149,-3.9062,3.6354
37.251,-3.9104,3.6593
37.359,-3.9142,3.6795
37.464,-3.9182,3.7005
37.566,-3.922,3.7201
37.674,-3.9258,3.7384
37.776,-3.9293,3.7554
37.881,-3.9326,3.7708
37.983,-3.9355,3.7843
38.094,-3.9361,3.79
38.205,-3.9351,3.7905
38.322,-3.9335,3.7913
38.427,-3.9321,3.7922
38.532,-3.9309,3.793
38.634,-3.9306,3.7939
38.742,-3.9305,3.7947
38.85,-3.9307,3.7955
38.955,-3.9308,3.7963
39.06,-3.9309,3.7971
39.162,-3.9308,3.7978
39.264,-3.9309,3.7985
39.369,-3.9308,3.7991
39.477,-3.9305,3.7995
39.582,-3.9305,3.8002
39.687,-3.9303,3.8006
39.795,-3.93,3.801
39.897,-3.93,3.8016
40.005,-3.9298,3.8019
40.107,-3.9296,3.8022
40.215,-3.9293,3.8024
40.317,-3.9291,3.8026
40.422,-3.929,3.8031
40.539,-3.9289,3.8034
40.656,-3.9286,3.8035
40.761,-3.9284,3.8036
40.863,-3.9282,3.8037
