t,x,y
0.0,-0.5,-4.0
0.108,-0.5,-4.0
0.21,-0.4999,-3.9989
0.315,-0.4998,-3.9938
0.417,-0.4996,-3.9879
0.525,-0.4993,-3.9818
0.63,-0.4989,-3.9756
0.738,-0.4985,-3.9698
0.84,-0.4977,-3.962
0.945,-0.4966,-3.9529
1.05,-0.4952,-3.9437
1.158,-0.4936,-3.9343
1.26,-0.4912,-3.9234
1.365,-0.4883,-3.9118
1.47,-0.4847,-3.8992
1.575,-0.4802,-3.8854
1.68,-0.4745,-3.8698
1.788,-0.4676,-3.853
1.89,-0.4597,-3.8355
1.998,-0.4509,-3.8174
2.106,-0.4411,-3.7989
2.235,-0.4283,-3.7766
2.352,-0.4146,-3.7543
2.457,-0.4025,-3.7358
2.565,-0.3898,-3.7175
2.667,-0.3764,-3.6989
2.772,-0.3629,-3.6808
2.883,-0.3488,-3.6626
3.003,-0.3311,-3.6402
3.108,-0.3157,-3.6213
3.213,-0.2996,-3.6016
3.318,-0.2838,-3.5824
3.423,-0.2685,-3.5638
3.528,-0.2536,-3.5453
3.633,-0.239,-3.5269
3.738,-0.2246,-3.5084
3.843,-0.2105,-3.4898
3.954,-0.1964,-3.4706
4.062,-0.1827,-3.4512
4.179,-0.1669,-3.4279
4.284,-0.1548,-3.4088
4.41,-0.1417,-3.3869
4.536,-0.1296,-3.365
4.647,-0.1202,-3.3462
4.749,-0.111,-3.3264
4.851,-0.1025,-3.3058
4.956,-0.0943,-3.2838
5.067,-0.0876,-3.2631
5.19,-0.0804,-3.2373
5.313,-0.0742,-3.2101
5.439,-0.0692,-3.1819
5.544,-0.0659,-3.157
5.649,-0.0633,-3.1311
5.754,-0.0614,-3.1041
5.859,-0.0602,-3.077
5.964,-0.0597,-3.0498
6.069,-0.0597,-3.0226
6.174,-0.06,-2.9954
6.276,-0.0606,-2.9681
6.384,-0.0613,-2.9408
6.489,-0.0621,-2.9135
6.594,-0.0628,-2.8862
6.699,-0.0635,-2.8589
6.804,-0.0639,-2.8315
6.909,-0.0643,-2.8042
7.017,-0.0644,-2.7768
7.119,-0.0645,-2.7494
7.23,-0.0643,-2.7221
7.356,-0.0639,-2.6893
7.458,-0.0634,-2.6619
7.587,-0.0627,-2.6292
7.707,-0.0618,-2.5964
7.812,-0.061,-2.5691
7.917,-0.0601,-2.5418
8.019,-0.0592,-2.5145
8.127,-0.0583,-2.4872
8.232,-0.0574,-2.46
8.337,-0.0565,-2.4328
8.442,-0.0557,-2.4055
8.547,-0.0549,-2.3782
8.661,-0.0542,-2.351
8.778,-0.0534,-2.3182
8.883,-0.0528,-2.291
8.988,-0.0523,-2.2637
9.093,-0.0518,-2.2364
9.198,-0.0515,-2.2092
9.303,-0.0512,-2.1819
9.408,-0.051,-2.1546
9.51,-0.0509,-2.1274
9.618,-0.0509,-2.1001
9.723,-0.0509,-2.0728
9.828,-0.0511,-2.0456
9.933,-0.0513,-2.0183
10.038,-0.0515,-1.9911
10.143,-0.0518,-1.9638
10.248,-0.0521,-1.9365
10.356,-0.0524,-1.9092
10.461,-0.0527,-1.8819
10.566,-0.053,-1.8546
10.668,-0.0534,-1.8273
10.773,-0.0538,-1.8
10.884,-0.0541,-1.7727
11.004,-0.0546,-1.74
11.109,-0.055,-1.7127
11.214,-0.0555,-1.6854
11.322,-0.056,-1.6581
11.445,-0.0567,-1.6254
11.55,-0.0574,-1.5982
11.655,-0.0582,-1.5709
11.763,-0.059,-1.5437
11.865,-0.0599,-1.5164
11.97,-0.0608,-1.4891
12.078,-0.0619,-1.4619
12.183,-0.0631,-1.4347
12.288,-0.0643,-1.4074
12.39,-0.0657,-1.3802
12.498,-0.0671,-1.353
12.6,-0.0687,-1.3258
12.705,-0.0705,-1.2986
12.813,-0.0724,-1.2715
12.915,-0.0745,-1.2445
13.017,-0.0768,-1.2173
13.131,-0.0794,-1.1903
13.254,-0.0828,-1.1578
13.356,-0.086,-1.1308
13.464,-0.0895,-1.1038
13.566,-0.0933,-1.0769
13.671,-0.0975,-1.0501
13.779,-0.1021,-1.0234
13.905,-0.1083,-0.9914
14.022,-0.1138,-0.9651
14.136,-0.1211,-0.9335
14.244,-0.1278,-0.9073
14.364,-0.1364,-0.8765
14.472,-0.1437,-0.8536
14.574,-0.1512,-0.8312
14.679,-0.1594,-0.8089
14.784,-0.1681,-0.787
14.886,-0.1776,-0.7653
14.994,-0.1879,-0.7434
15.099,-0.1994,-0.7209
15.204,-0.212,-0.698
15.309,-0.2255,-0.6752
15.414,-0.2398,-0.6526
15.519,-0.2549,-0.6303
15.624,-0.2707,-0.6083
15.729,-0.2871,-0.5868
15.834,-0.304,-0.5657
15.936,-0.318,-0.5491
16.044,-0.3395,-0.5247
16.149,-0.3579,-0.5047
16.254,-0.3769,-0.4854
16.359,-0.3963,-0.4665
16.464,-0.416,-0.448
16.572,-0.4362,-0.4299
16.674,-0.4567,-0.4122
16.782,-0.4777,-0.395
16.884,-0.499,-0.3783
16.989,-0.5207,-0.362
17.094,-0.5428,-0.3461
17.202,-0.5651,-0.3306
17.307,-0.5876,-0.3154
17.409,-0.6104,-0.3006
17.514,-0.6334,-0.286
17.622,-0.6565,-0.2715
17.73,-0.6797,-0.2573
17.832,-0.7031,-0.2431
17.934,-0.7265,-0.229
18.039,-0.7499,-0.215
18.144,-0.7732,-0.2009
