t,x,y
0.0,4.0,-1.5
0.105,4.0,-1.5
0.21,4.0,-1.5
0.315,3.9999,-1.4995
0.42,3.9997,-1.4989
0.525,3.9995,-1.498
0.63,3.9991,-1.4971
0.735,3.9987,-1.4962
0.84,3.9982,-1.4953
0.945,3.9977,-1.4943
1.05,3.9972,-1.4931
1.155,3.9967,-1.492
1.26,3.9962,-1.4907
1.365,3.9958,-1.4893
1.47,3.9942,-1.4865
1.575,3.9862,-1.476
1.68,3.9738,-1.4556
1.785,3.9618,-1.4312
1.89,3.9517,-1.4055
1.995,3.9433,-1.379
2.103,3.9363,-1.3524
2.205,3.9308,-1.3254
2.31,3.9262,-1.2984
2.415,3.922,-1.2713
2.52,3.9183,-1.2441
2.625,3.9149,-1.2169
2.733,3.9119,-1.1897
2.835,3.909,-1.1625
2.94,3.9065,-1.1352
3.045,3.9041,-1.108
3.15,3.9018,-1.0808
3.255,3.8996,-1.0536
3.36,3.8973,-1.0264
3.465,3.8951,-0.9992
3.57,3.8927,-0.9721
3.675,3.8902,-0.945
3.78,3.8874,-0.9179
3.885,3.8843,-0.8909
3.993,3.881,-0.864
4.095,3.8772,-0.8371
4.2,3.8729,-0.8103
4.305,3.8681,-0.7837
4.413,3.8629,-0.7571
4.515,3.857,-0.7306
4.62,3.8506,-0.7043
4.725,3.8434,-0.6782
4.833,3.8357,-0.6523
4.938,3.8272,-0.6266
5.04,3.8181,-0.6011
5.145,3.8083,-0.5759
5.25,3.7977,-0.551
5.355,3.7865,-0.5264
5.46,3.7745,-0.5021
5.565,3.762,-0.4785
5.67,3.7489,-0.4554
5.772,3.7351,-0.4327
5.88,3.7206,-0.4104
5.985,3.7054,-0.3885
6.09,3.6894,-0.3669
6.195,3.6728,-0.3459
6.303,3.656,-0.3261
6.405,3.6387,-0.3067
6.51,3.6207,-0.2879
6.615,3.6022,-0.2696
6.72,3.5825,-0.2514
6.825,3.5621,-0.2337
6.93,3.5412,-0.2166
7.035,3.5198,-0.2
7.14,3.4979,-0.1841
7.245,3.4758,-0.1692
7.35,3.4531,-0.1547
7.455,3.4299,-0.1407
7.56,3.4063,-0.1274
7.665,3.3824,-0.1148
7.77,3.3581,-0.1028
7.875,3.3335,-0.0914
7.98,3.3086,-0.0805
8.085,3.2835,-0.0703
8.19,3.2582,-0.0606
8.295,3.2327,-0.0514
8.4,3.2069,-0.0426
8.505,3.1811,-0.0343
8.613,3.155,-0.0264
8.718,3.1289,-0.0189
8.82,3.1027,-0.0117
8.925,3.0763,-0.0049
9.027,3.0499,0.0017
9.129,3.0235,0.0079
9.258,2.9969,0.0136
9.369,2.965,0.0201
9.474,2.9383,0.0251
9.576,2.9115,0.0297
9.684,2.8847,0.0339
9.792,2.8578,0.0377
9.894,2.8308,0.0409
9.996,2.8038,0.0438
10.101,2.7768,0.0462
10.209,2.7497,0.0483
10.311,2.7225,0.05
10.416,2.6954,0.0514
10.521,2.6682,0.0524
10.626,2.641,0.0531
10.731,2.6137,0.0536
10.836,2.5865,0.054
10.941,2.5592,0.0542
11.046,2.5319,0.0542
11.151,2.5046,0.0541
11.256,2.4773,0.054
11.361,2.45,0.0538
11.466,2.4227,0.0536
11.577,2.3954,0.0534
11.697,2.3627,0.0531
11.805,2.3354,0.0529
11.907,2.3081,0.0526
12.015,2.2808,0.0524
12.117,2.2535,0.0521
12.222,2.2262,0.0518
12.327,2.1989,0.0515
12.435,2.1716,0.0513
12.537,2.1443,0.051
12.642,2.117,0.0508
12.75,2.0897,0.0506
12.852,2.0624,0.0504
12.96,2.0351,0.0501
13.062,2.0078,0.0499
13.167,1.9805,0.0496
13.272,1.9532,0.0493
13.377,1.9259,0.049
13.485,1.8987,0.0486
13.587,1.8714,0.0482
13.695,1.8441,0.0478
13.8,1.8168,0.0473
13.902,1.7895,0.0469
14.007,1.7622,0.0465
14.112,1.7349,0.046
14.217,1.7076,0.0455
14.322,1.6803,0.0451
14.427,1.653,0.0447
14.541,1.6257,0.0442
14.658,1.5929,0.0437
14.763,1.5657,0.0432
14.865,1.5384,0.0426
14.973,1.5111,0.0421
15.078,1.4838,0.0416
15.183,1.4565,0.0409
15.288,1.4292,0.0403
15.393,1.4019,0.0397
15.498,1.3746,0.0391
15.603,1.3473,0.0385
15.708,1.32,0.038
15.813,1.2927,0.0376
15.918,1.2654,0.0372
16.023,1.238,0.0371
16.128,1.2106,0.037
16.233,1.1832,0.0371
16.338,1.1559,0.0374
16.443,1.1285,0.0379
16.548,1.1011,0.0387
16.659,1.0737,0.0398
16.764,1.0464,0.0411
16.887,1.0135,0.0431
16.992,0.9862,0.0453
17.094,0.9588,0.0478
17.199,0.9315,0.0507
17.304,0.9042,0.0541
17.412,0.877,0.058
17.514,0.8499,0.0624
17.619,0.8229,0.0673
17.727,0.7959,0.0729
17.829,0.7691,0.079
17.934,0.7424,0.0856
18.042,0.7159,0.0931
18.144,0.6895,0.1011
18.249,0.6634,0.1098
18.354,0.6375,0.1191
18.456,0.6118,0.1291
18.564,0.5864,0.1397
18.669,0.5613,0.151
18.771,0.5365,0.1631
18.879,0.512,0.1758
18.999,0.4879,0.1892
19.113,0.4595,0.2061
19.218,0.4363,0.221
19.32,0.4136,0.2364
19.425,0.3915,0.2526
19.53,0.3696,0.2694
19.635,0.3483,0.2869
19.74,0.3275,0.305
19.845,0.3073,0.3238
19.95,0.2876,0.3431
20.052,0.2685,0.363
20.16,0.25,0.3834
20.265,0.232,0.4043
20.373,0.2146,0.4256
20.475,0.1979,0.4475
20.58,0.1817,0.4698
20.685,0.1661,0.4924
20.79,0.151,0.5155
20.895,0.1365,0.5388
21.003,0.1225,0.5625
21.105,0.109,0.5864
21.21,0.096,0.6106
21.315,0.0835,0.635
21.42,0.0713,0.6596
21.525,0.0595,0.6844
21.63,0.0481,0.7093
21.735,0.037,0.7343
21.837,0.0262,0.7595
21.945,0.0156,0.7847
22.05,0.0053,0.8101
22.155,-0.0049,0.8355
22.26,-0.0148,0.861
22.368,-0.0246,0.8865
22.47,-0.0342,0.9121
22.575,-0.0438,0.9377
22.683,-0.0532,0.9634
22.785,-0.0625,0.989
22.89,-0.0718,1.0147
22.995,-0.081,1.0404
23.1,-0.0903,1.0661
23.205,-0.0995,1.0918
23.31,-0.1087,1.1175
23.418,-0.1181,1.143
