t,x,y
0.0,4.0,-1.5
0.102,4.0,-1.5
0.213,3.9986,-1.4998
0.318,3.9874,-1.4989
0.42,3.9651,-1.497
0.522,3.941,-1.4945
0.63,3.915,-1.49
0.735,3.8896,-1.4839
0.846,3.8646,-1.4757
0.969,3.8347,-1.4627
1.074,3.8111,-1.4491
1.176,3.7882,-1.4326
1.281,3.7669,-1.414
1.386,3.748,-1.3935
1.494,3.7307,-1.3711
1.596,3.7157,-1.3472
1.701,3.7028,-1.3222
1.806,3.6923,-1.2961
1.911,3.684,-1.2693
2.016,3.6777,-1.242
2.124,3.6732,-1.2144
2.226,3.6702,-1.1867
2.331,3.6686,-1.1591
2.436,3.6685,-1.1315
2.541,3.6701,-1.1039
2.646,3.672,-1.0764
2.748,3.6746,-1.0491
2.853,3.678,-1.0218
2.961,3.6817,-0.9947
3.069,3.6851,-0.9731
3.171,3.6904,-0.9407
3.279,3.6948,-0.9149
3.387,3.699,-0.8883
3.507,3.7039,-0.8571
3.612,3.7076,-0.8304
3.717,3.7111,-0.804
3.819,3.7142,-0.7781
3.933,3.7167,-0.7518
4.053,3.7185,-0.7194
4.158,3.7195,-0.6924
4.263,3.7198,-0.6654
4.368,3.7191,-0.639
4.473,3.7176,-0.612
4.578,3.715,-0.5853
4.683,3.711,-0.5593
4.791,3.7058,-0.533
4.893,3.6998,-0.5068
4.998,3.6925,-0.4813
5.103,3.684,-0.457
5.208,3.6739,-0.4321
5.313,3.6625,-0.4078
5.421,3.6502,-0.3846
5.523,3.6369,-0.3622
5.631,3.6223,-0.3395
5.733,3.6069,-0.3174
5.838,3.5903,-0.2965
5.946,3.5733,-0.2767
6.051,3.5548,-0.2572
6.153,3.5356,-0.2383
6.255,3.5161,-0.2204
6.363,3.497,-0.2042
6.471,3.476,-0.1882
6.594,3.4516,-0.1707
6.699,3.432,-0.1579
6.804,3.4089,-0.1444
6.909,3.3861,-0.132
7.017,3.363,-0.1204
7.119,3.3393,-0.1095
7.224,3.3151,-0.0992
7.329,3.291,-0.0898
7.434,3.2657,-0.081
7.542,3.2421,-0.0736
7.644,3.2175,-0.0666
7.749,3.1925,-0.0604
7.854,3.1665,-0.0543
7.959,3.1408,-0.0492
8.067,3.1146,-0.0443
8.172,3.0888,-0.0401
8.274,3.0623,-0.0364
8.379,3.036,-0.0331
8.481,3.009,-0.0303
8.589,2.9819,-0.0276
8.694,2.9556,-0.0255
8.799,2.9286,-0.0239
8.904,2.9017,-0.0226
9.009,2.8749,-0.0217
9.114,2.8488,-0.0212
9.219,2.8222,-0.0211
9.327,2.7963,-0.021
9.432,2.7691,-0.0215
9.534,2.7428,-0.0222
9.639,2.7159,-0.0232
9.744,2.6897,-0.0242
9.849,2.6636,-0.0252
9.954,2.637,-0.0264
10.059,2.6105,-0.0277
10.161,2.5839,-0.0289
10.269,2.5578,-0.0302
10.377,2.5309,-0.0314
10.479,2.5046,-0.0327
10.584,2.4778,-0.0338
10.695,2.4514,-0.0349
10.815,2.4188,-0.0362
10.923,2.3938,-0.037
11.025,2.3667,-0.0378
11.13,2.3402,-0.0384
11.235,2.3134,-0.0388
11.343,2.287,-0.0392
11.445,2.26,-0.0393
11.553,2.2332,-0.0393
11.658,2.2071,-0.0394
11.781,2.1758,-0.0391
11.886,2.1498,-0.0388
11.994,2.1226,-0.0384
12.096,2.0967,-0.0379
12.198,2.0716,-0.0372
12.324,2.0464,-0.0364
12.432,2.0148,-0.0354
12.543,1.9884,-0.0344
12.666,1.9589,-0.0331
12.768,1.9323,-0.0317
12.876,1.9057,-0.03
12.978,1.8787,-0.0284
13.083,1.8524,-0.027
13.188,1.828,-0.0253
13.296,1.802,-0.0235
13.398,1.7756,-0.0217
13.503,1.7489,-0.0198
13.608,1.7217,-0.0183
13.713,1.6964,-0.0168
13.821,1.6703,-0.0155
13.923,1.6442,-0.0145
14.028,1.6174,-0.0137
14.133,1.5913,-0.0132
14.238,1.5643,-0.0126
14.346,1.5374,-0.0125
14.448,1.5102,-0.0127
14.553,1.4837,-0.0131
14.661,1.4572,-0.0136
14.766,1.4308,-0.0143
14.868,1.4046,-0.0151
14.973,1.3783,-0.0158
15.078,1.3524,-0.0166
15.183,1.3253,-0.0174
15.285,1.2992,-0.0181
15.393,1.272,-0.0186
15.498,1.2456,-0.0191
15.603,1.2184,-0.0193
15.708,1.1936,-0.0195
15.816,1.1665,-0.0194
15.921,1.1403,-0.0195
16.023,1.1135,-0.0195
16.131,1.0871,-0.0193
16.233,1.0607,-0.019
16.338,1.0339,-0.0188
16.443,1.0068,-0.0181
16.545,0.98,-0.0174
16.653,0.9529,-0.0163
16.755,0.9257,-0.0149
16.863,0.8983,-0.0128
16.968,0.8713,-0.0105
17.07,0.8446,-0.0078
17.181,0.8183,-0.0046
17.283,0.7911,-0.0003
17.391,0.7649,0.0042
17.514,0.7329,0.0106
17.619,0.706,0.0165
17.724,0.6799,0.0227
17.829,0.6548,0.0297
17.934,0.6292,0.0374
18.045,0.6039,0.0452
18.165,0.5733,0.0557
18.27,0.5475,0.0654
18.378,0.5219,0.0755
18.48,0.4966,0.0863
18.585,0.4725,0.0971
18.69,0.4499,0.1079
18.795,0.4263,0.12
18.9,0.4027,0.133
19.005,0.3789,0.1469
19.113,0.3554,0.1611
19.218,0.3324,0.1764
19.32,0.3109,0.1913
19.428,0.2893,0.2075
19.53,0.2698,0.2229
19.635,0.2486,0.2406
19.74,0.2281,0.2591
19.845,0.2085,0.2787
19.953,0.1893,0.2988
20.076,0.1675,0.3226
20.184,0.15,0.3438
20.286,0.1335,0.366
20.412,0.1148,0.3928
20.517,0.1,0.4154
20.622,0.0862,0.4381
20.727,0.0727,0.4621
20.835,0.0603,0.4858
20.94,0.0488,0.5096
21.045,0.0379,0.5337
21.147,0.0273,0.5591
21.252,0.0178,0.5836
21.357,0.0091,0.6081
21.462,0.0011,0.6329
21.567,-0.0066,0.6593
21.672,-0.0133,0.6846
21.783,-0.019,0.7088
21.885,-0.0248,0.7356
21.987,-0.0298,0.7615
22.098,-0.0342,0.7882
22.2,-0.0379,0.8143
22.302,-0.0412,0.8404
22.407,-0.0441,0.8669
22.512,-0.0467,0.8934
22.617,-0.049,0.9201
22.722,-0.0511,0.9469
22.83,-0.0528,0.9727
22.932,-0.0544,0.9979
23.037,-0.0561,1.0241
23.142,-0.0578,1.0498
23.256,-0.0595,1.0756
23.373,-0.0622,1.1074
23.478,-0.0648,1.1339
23.583,-0.0675,1.1609
23.688,-0.0709,1.1878
23.796,-0.0745,1.2138
23.898,-0.0785,1.2392
24.006,-0.0832,1.2651
24.111,-0.0888,1.2915
24.213,-0.0942,1.3157
24.318,-0.1007,1.3412
24.423,-0.1077,1.366
24.528,-0.1153,1.3916
