t,x,y
0.0,3.5,-4.0
0.105,3.5,-4.0
0.207,3.4999,-4.0003
0.318,3.4996,-4.0009
0.426,3.4995,-4.0015
0.528,3.4998,-4.0015
0.63,3.4999,-4.0019
0.735,3.4999,-4.0024
0.837,3.4999,-4.0034
0.948,3.4998,-4.0097
1.05,3.4995,-4.0095
1.161,3.4991,-4.0054
1.281,3.4985,-3.9994
1.401,3.4978,-3.9932
1.506,3.4967,-3.9855
1.62,3.4955,-3.9777
1.725,3.4939,-3.9689
1.827,3.4942,-3.9669
1.935,3.4941,-3.9645
2.037,3.4924,-3.9577
2.148,3.4906,-3.9501
2.265,3.4892,-3.9436
2.376,3.4893,-3.9436
2.478,3.4888,-3.9413
2.583,3.4878,-3.9369
2.688,3.4875,-3.9362
2.793,3.4874,-3.9362
2.898,3.4874,-3.9362
3.009,3.4874,-3.9362
3.111,3.486,-3.9312
3.213,3.4842,-3.9236
3.318,3.4835,-3.9202
3.423,3.4828,-3.9167
3.525,3.4824,-3.9167
3.633,3.482,-3.9155
3.738,3.4812,-3.9108
3.843,3.4803,-3.9058
3.948,3.4792,-3.8992
4.056,3.4783,-3.8939
4.158,3.4775,-3.8934
4.263,3.4771,-3.8924
4.368,3.477,-3.8897
4.473,3.4766,-3.8844
4.578,3.4761,-3.8778
4.683,3.4765,-3.8778
4.791,3.4767,-3.8784
4.893,3.4768,-3.8745
4.998,3.4771,-3.8675
5.103,3.4768,-3.8656
5.208,3.4768,-3.8661
5.313,3.4764,-3.8658
5.418,3.4757,-3.8652
5.526,3.4763,-3.8638
5.628,3.4768,-3.863
5.733,3.4778,-3.8592
5.838,3.4801,-3.8504
5.943,3.4837,-3.8375
6.048,3.4886,-3.8214
6.156,3.4948,-3.8034
6.258,3.501,-3.7866
6.36,3.5092,-3.7671
6.468,3.5146,-3.7556
6.573,3.5185,-3.7473
6.678,3.5222,-3.7394
6.786,3.5218,-3.7383
6.891,3.5213,-3.738
6.993,3.5211,-3.7379
7.101,3.521,-3.7379
7.203,3.5211,-3.7377
7.311,3.5248,-3.7311
7.416,3.5334,-3.7176
7.518,3.5416,-3.7043
7.623,3.5507,-3.6894
7.734,3.5619,-3.6712
7.857,3.5762,-3.6476
7.962,3.5894,-3.6252
8.067,3.5998,-3.6079
8.169,3.6048,-3.6
8.274,3.6074,-3.5955
8.379,3.615,-3.5818
8.499,3.6278,-3.5587
8.61,3.6394,-3.537
8.715,3.6518,-3.5137
8.82,3.6641,-3.4895
8.925,3.6761,-3.4652
9.036,3.6868,-3.443
9.156,3.6938,-3.4287
9.261,3.6956,-3.4245
9.363,3.7007,-3.4121
9.474,3.7078,-3.3946
9.579,3.7116,-3.3836
9.681,3.7167,-3.3694
9.789,3.7228,-3.3506
9.894,3.7282,-3.3337
9.999,3.7307,-3.3273
10.101,3.7311,-3.3273
10.206,3.7312,-3.3273
10.311,3.7312,-3.3273
10.452,3.7312,-3.3273
10.557,3.7312,-3.3273
10.665,3.7312,-3.3273
10.77,3.7312,-3.3273
10.881,3.7312,-3.3273
10.983,3.7312,-3.3273
11.088,3.7312,-3.3273
11.193,3.7312,-3.3273
11.301,3.7315,-3.3255
11.403,3.7342,-3.3139
11.508,3.7391,-3.2931
11.616,3.7447,-3.2687
11.718,3.7489,-3.2513
11.823,3.7505,-3.2445
11.931,3.7505,-3.2445
12.036,3.7507,-3.243
12.138,3.7526,-3.2321
12.249,3.7551,-3.2195
12.351,3.7562,-3.216
12.453,3.7563,-3.216
12.558,3.7563,-3.216
12.663,3.7564,-3.2151
12.774,3.7579,-3.2052
12.897,3.7605,-3.1914
12.999,3.7608,-3.1899
13.104,3.7611,-3.1864
13.209,3.7627,-3.174
13.314,3.764,-3.1675
13.419,3.7642,-3.1674
13.527,3.7642,-3.1674
13.632,3.7642,-3.1674
13.734,3.7642,-3.1674
13.845,3.7642,-3.1674
13.947,3.7642,-3.1674
14.055,3.7642,-3.167
14.181,3.7658,-3.1556
14.283,3.7673,-3.1453
14.385,3.7674,-3.1443
14.49,3.7674,-3.1443
14.595,3.7674,-3.1443
14.7,3.7674,-3.1443
14.805,3.7674,-3.1443
14.907,3.7674,-3.1443
15.015,3.7674,-3.1439
15.12,3.768,-3.1355
15.225,3.7696,-3.1203
15.333,3.7714,-3.1022
15.435,3.7732,-3.0816
15.54,3.7745,-3.0696
15.645,3.7748,-3.0636
15.75,3.7753,-3.0481
15.855,3.7758,-3.027
15.96,3.7762,-3.0025
16.065,3.7765,-2.9816
16.17,3.7768,-2.9716
16.275,3.7768,-2.9698
16.383,3.7768,-2.9597
16.485,3.7765,-2.9408
16.593,3.7761,-2.9178
16.695,3.7758,-2.8975
16.8,3.7756,-2.8881
16.905,3.7756,-2.8874
17.013,3.7756,-2.8874
17.115,3.7756,-2.8874
17.22,3.7756,-2.8874
17.325,3.7756,-2.8874
17.43,3.7756,-2.8874
17.535,3.7756,-2.8874
17.64,3.7756,-2.8874
17.745,3.7756,-2.8874
17.85,3.7756,-2.8874
17.955,3.7756,-2.8874
18.06,3.7756,-2.8874
18.165,3.7756,-2.8874
18.267,3.7756,-2.8874
18.375,3.7756,-2.8874
18.48,3.7756,-2.8874
18.588,3.7756,-2.8874
18.69,3.7756,-2.8874
18.795,3.7756,-2.8874
18.9,3.7756,-2.8874
19.011,3.7756,-2.8874
19.131,3.7756,-2.8874
19.236,3.7756,-2.8874
19.341,3.7756,-2.8874
19.455,3.7757,-2.8829
19.572,3.7755,-2.8633
19.677,3.7753,-2.8442
19.779,3.7752,-2.8361
19.893,3.7751,-2.8347
20.013,3.7751,-2.8347
20.142,3.7751,-2.8347
20.25,3.7751,-2.8347
20.373,3.7751,-2.8347
20.475,3.7751,-2.8347
20.586,3.7751,-2.8347
20.706,3.7748,-2.8313
20.808,3.7744,-2.818
20.919,3.7738,-2.8004
21.027,3.7731,-2.7809
21.132,3.773,-2.7704
21.252,3.773,-2.7693
21.36,3.7731,-2.7693
21.462,3.7731,-2.7693
21.567,3.7731,-2.7693
21.672,3.7729,-2.7656
21.777,3.7723,-2.7511
21.882,3.7715,-2.7354
21.99,3.7712,-2.7304
22.113,3.7712,-2.7304
22.218,3.7712,-2.7304
22.329,3.7712,-2.7304
22.434,3.7712,-2.7304
22.557,3.7712,-2.7304
22.659,3.771,-2.7289
22.767,3.77,-2.7224
22.869,3.7696,-2.7169
22.974,3.7702,-2.7168
23.079,3.7698,-2.7132
23.184,3.7683,-2.7024
23.289,3.7675,-2.6941
23.394,3.7679,-2.6935
23.499,3.768,-2.6935
23.607,3.768,-2.6935
23.709,3.768,-2.6935
23.814,3.768,-2.6935
23.916,3.768,-2.6935
24.024,3.768,-2.6935
24.129,3.768,-2.6935
24.234,3.768,-2.6935
24.342,3.768,-2.6935
24.447,3.768,-2.6935
24.576,3.768,-2.6935
24.699,3.768,-2.6935
24.801,3.768,-2.6934
24.906,3.7675,-2.6864
25.011,3.7659,-2.6725
25.116,3.765,-2.6675
25.221,3.765,-2.6675
25.329,3.765,-2.6675
25.434,3.7649,-2.6652
25.539,3.7638,-2.6527
25.644,3.7622,-2.6384
25.767,3.7616,-2.6342
25.872,3.7614,-2.6282
25.977,3.7605,-2.6127
26.082,3.7589,-2.5958
