t,x,y
0.0,4.0,0.5
0.102,4.0,0.5
0.207,3.9976,0.4997
0.318,3.9849,0.4986
0.42,3.9619,0.4967
0.522,3.9362,0.4944
0.627,3.9106,0.4911
0.732,3.8852,0.4867
0.837,3.8601,0.4812
0.942,3.8422,0.4769
1.047,3.8267,0.4721
1.152,3.8031,0.4637
1.257,3.779,0.4543
1.359,3.7551,0.4441
1.467,3.7308,0.4329
1.572,3.7065,0.4209
1.677,3.6826,0.4082
1.782,3.6588,0.3951
1.887,3.6353,0.3814
1.992,3.612,0.3675
2.097,3.5888,0.3531
2.202,3.5679,0.3402
2.307,3.556,0.3327
2.412,3.547,0.3274
2.517,3.5289,0.3165
2.622,3.5054,0.3023
2.727,3.4817,0.2885
2.832,3.4579,0.2749
2.937,3.4338,0.2618
3.045,3.4095,0.249
3.15,3.385,0.2366
3.252,3.3602,0.2247
3.357,3.3353,0.2132
3.462,3.3102,0.202
3.567,3.2849,0.1913
3.672,3.2595,0.181
3.777,3.2339,0.1711
3.885,3.2081,0.1616
3.987,3.1822,0.1526
4.092,3.1562,0.1439
4.197,3.13,0.1356
4.302,3.1037,0.1279
4.41,3.0773,0.1204
4.512,3.0507,0.1134
4.617,3.0241,0.1069
4.725,2.9973,0.1007
4.827,2.9704,0.0951
4.932,2.9435,0.0898
5.037,2.9165,0.085
5.142,2.8894,0.0806
5.247,2.8622,0.0768
5.352,2.835,0.0733
5.457,2.8077,0.0702
5.562,2.7804,0.0675
5.667,2.7531,0.0652
5.778,2.7257,0.0633
5.898,2.6929,0.0614
6.003,2.6655,0.0603
6.108,2.6382,0.0594
6.216,2.6108,0.0586
6.318,2.5836,0.0579
6.429,2.5563,0.0573
6.549,2.5236,0.0567
6.654,2.4964,0.0561
6.762,2.4691,0.0554
6.864,2.4419,0.0546
6.969,2.4146,0.0536
7.074,2.3874,0.0525
7.179,2.3602,0.0513
7.284,2.3331,0.0493
7.389,2.3061,0.0472
7.494,2.2791,0.0449
7.599,2.2521,0.0422
7.704,2.2251,0.039
7.809,2.1981,0.0354
7.92,2.1712,0.0315
8.04,2.1389,0.0263
8.145,2.112,0.0218
8.25,2.0851,0.0172
8.358,2.058,0.0128
8.463,2.031,0.0083
8.571,2.004,0.0039
8.676,1.9769,-0.0003
8.793,1.9444,-0.005
8.904,1.9173,-0.0087
9.012,1.8901,-0.0121
9.138,1.8576,-0.0162
9.252,1.825,-0.02
9.363,1.7979,-0.023
9.468,1.7707,-0.0259
9.576,1.7436,-0.0287
9.678,1.7163,-0.0315
9.783,1.6891,-0.0341
9.888,1.6619,-0.0367
9.993,1.6346,-0.0391
10.098,1.6074,-0.0414
10.206,1.5801,-0.0435
